user_id,event_timestamp,months_active,monthly_fee,paperless_billing,watch_hours_30d,avg_session_mins_7d,failed_payments_90d,churn_label
5380-WJKOV,2024-01-31,34,106.35000000000001,True,33.0344978362835,29.141044640845102,0,False
8168-UQWWF,2024-01-31,11,97.85000000000001,True,34.1189902520792,29.141044640845102,0,False
9489-DEDVP,2024-01-31,70,69.2,True,30.6989088712753,29.141044640845102,0,False
9867-JCZSP,2024-01-31,17,20.75,False,16.9872208679115,29.141044640845102,0,True
4671-VJLCL,2024-01-31,63,79.85000000000001,True,32.358201151885,29.141044640845102,0,False
4080-IIARD,2024-01-31,13,76.2,True,38.2241171087077,29.141044640845102,0,False
3714-NTNFO,2024-01-31,49,84.5,True,24.9392766093576,29.141044640845102,0,True
5948-UJZLF,2024-01-31,2,49.25,False,31.684413440108,29.141044640845102,1,False
7760-OYPDY,2024-01-31,2,80.65,True,32.6942701284829,29.141044640845102,0,False
7639-LIAYI,2024-01-31,52,79.75,True,28.7551480294639,29.141044640845102,1,False
2954-PIBKO,2024-01-31,69,64.15,True,39.6245827317121,29.141044640845102,0,False
8012-SOUDQ,2024-01-31,43,90.25,True,37.3487985604236,29.141044640845102,0,True
9420-LOJKX,2024-01-31,15,99.10000000000001,True,28.8685554894739,29.141044640845102,0,True
6575-SUVOI,2024-01-31,25,69.5,True,30.7975811438573,29.141044640845102,0,True
7495-OOKFY,2024-01-31,8,80.65,True,34.9809479183509,29.141044640845102,0,False
4667-QONEA,2024-01-31,60,74.85000000000001,True,30.2835893732463,29.141044640845102,0,False
1658-BYGOY,2024-01-31,18,95.45,True,37.732051335976,29.141044640845102,0,False
8769-KKTPH,2024-01-31,63,99.65,True,34.6149133992529,29.141044640845102,0,False
5067-XJQFU,2024-01-31,66,108.45,True,39.6037378041716,29.141044640845102,0,False
3957-SQXML,2024-01-31,34,24.95,False,30.9351129582808,29.141044640845102,0,False
5954-BDFSG,2024-01-31,72,107.5,True,32.7466887449717,29.141044640845102,1,True
0434-CSFON,2024-01-31,47,100.5,True,36.0906930519481,29.141044640845102,0,True
1215-FIGMP,2024-01-31,60,89.9,True,31.1684621173079,29.141044640845102,0,True
0526-SXDJP,2024-01-31,72,42.1,False,26.9513420561292,29.141044640845102,0,False
0557-ASKVU,2024-01-31,18,54.4,True,22.2240273607493,29.141044640845102,0,True
5698-BQJOH,2024-01-31,9,94.4,False,31.2634920174866,29.141044640845102,0,False
5122-CYFXA,2024-01-31,3,75.3,True,30.3140201359775,29.141044640845102,0,False
8627-ZYGSZ,2024-01-31,47,78.9,True,36.328819360502,29.141044640845102,0,False
3410-YOQBQ,2024-01-31,31,79.2,False,37.6061100372707,29.141044640845102,1,False
3170-NMYVV,2024-01-31,50,20.150000000000002,False,16.4048610375787,29.141044640845102,0,True
7410-OIEDU,2024-01-31,10,79.85000000000001,True,28.0042881700648,29.141044640845102,0,False
2273-QCKXA,2024-01-31,1,49.050000000000004,False,30.5920171128671,29.141044640845102,0,False
0731-EBJQB,2024-01-31,52,20.400000000000002,True,13.0979010791275,29.141044640845102,1,True
1891-QRQSA,2024-01-31,64,111.60000000000001,True,34.4241506752382,29.141044640845102,0,False
8028-PNXHQ,2024-01-31,62,24.25,True,23.1510653716496,29.141044640845102,1,False
5630-AHZIL,2024-01-31,3,64.5,True,35.9600748864341,29.141044640845102,0,False
2673-CXQEU,2024-01-31,56,110.5,False,40.0220195028538,29.141044640845102,0,False
6416-JNVRK,2024-01-31,46,55.65,False,26.711432898889,29.141044640845102,0,False
5590-ZSKRV,2024-01-31,8,54.65,False,26.3546205295002,29.141044640845102,1,False
0191-ZHSKZ,2024-01-31,30,74.75,True,29.9615229974104,29.141044640845102,1,False
3887-PBQAO,2024-01-31,45,25.900000000000002,True,31.5026470022808,29.141044640845102,0,False
5919-TMRGD,2024-01-31,1,79.35000000000001,True,29.7623752871357,29.141044640845102,0,False
8108-UXRQN,2024-01-31,11,50.550000000000004,False,26.0640980581764,29.141044640845102,0,True
9191-MYQKX,2024-01-31,7,75.15,True,33.0354453364263,29.141044640845102,0,False
9919-YLNNG,2024-01-31,42,103.8,True,34.9661477745677,29.141044640845102,0,False
0318-ZOPWS,2024-01-31,49,20.150000000000002,True,22.0360788601714,29.141044640845102,0,False
4445-ZJNMU,2024-01-31,9,99.3,True,29.3246642842447,29.141044640845102,1,False
4808-YNLEU,2024-01-31,35,62.15,True,29.2648926598073,29.141044640845102,0,False
1862-QRWPE,2024-01-31,48,20.650000000000002,False,20.8795938851279,29.141044640845102,1,False
2796-NNUFI,2024-01-31,46,19.95,True,28.8231388809511,29.141044640845102,0,False
3016-KSVCP,2024-01-31,29,33.75,False,28.3279425135058,29.141044640845102,1,False
4767-HZZHQ,2024-01-31,30,82.05,False,32.1867819349503,29.141044640845102,0,False
2424-WVHPL,2024-01-31,1,74.7,False,34.5469051163367,29.141044640845102,1,False
7233-PAHHL,2024-01-31,66,84.0,True,30.9006522414343,29.141044640845102,0,False
6067-NGCEU,2024-01-31,65,111.05,True,41.9181317921347,29.141044640845102,0,False
9848-JQJTX,2024-01-31,72,100.9,True,35.1080021966419,29.141044640845102,0,False
8637-XJIVR,2024-01-31,12,78.95,True,34.7594117709021,29.141044640845102,0,False
9803-FTJCG,2024-01-31,71,66.85,True,23.5730337733826,29.141044640845102,0,True
0278-YXOOG,2024-01-31,5,21.05,False,24.8909002443921,29.141044640845102,1,True
3212-KXOCR,2024-01-31,52,21.0,False,14.7089794131673,29.141044640845102,0,False
4598-XLKNJ,2024-01-31,25,98.5,True,24.5983552753003,29.141044640845102,0,True
6380-ARCEH,2024-01-31,1,20.2,False,21.5076156114428,29.141044640845102,1,True
