user_id,signup_date,user_gender,user_is_senior,has_family,has_dependents
7590-VHVEG,2022-02-05,Female,False,True,False
5575-GNVDE,2022-01-03,Male,False,False,False
3668-QPYBK,2022-02-04,Male,False,False,False
7795-CFOCW,2022-01-01,Male,False,False,False
9237-HQITU,2022-02-04,Female,False,False,False
9305-CDSKC,2022-01-29,Female,False,False,False
1452-KIOVK,2022-01-15,Male,False,False,True
6713-OKOMC,2022-01-27,Female,False,False,False
7892-POOKP,2022-01-09,Female,False,True,False
6388-TABGU,2022-01-01,Male,False,False,True
9763-GRSKD,2022-01-24,Male,False,True,True
7469-LKBCI,2022-01-21,Male,False,False,False
8091-TTVAX,2022-01-01,Male,False,True,False
0280-XJGEX,2022-01-01,Male,False,False,False
5129-JLPIS,2022-01-12,Male,False,False,False
3655-SNQYZ,2022-01-01,Female,False,True,True
8191-XWSZG,2022-01-01,Female,False,False,False
9959-WOFKT,2022-01-01,Male,False,False,True
4190-MFLUW,2022-01-27,Female,False,True,True
4183-MYFRB,2022-01-16,Female,False,False,False
8779-QRDMV,2022-02-05,Male,True,False,False
1680-VDCWW,2022-01-25,Male,False,True,False
1066-JKSGK,2022-02-05,Male,False,False,False
3638-WEABW,2022-01-01,Female,False,True,False
6322-HRPFA,2022-01-01,Male,False,True,True
6865-JZNKO,2022-01-07,Female,False,False,False
6467-CHFZW,2022-01-01,Male,False,True,True
8665-UTDHZ,2022-02-05,Male,False,True,True
5248-YGIJN,2022-01-01,Male,False,True,False
8773-HHUOZ,2022-01-20,Female,False,False,True
3841-NFECX,2022-01-01,Female,True,True,False
4929-XIHVW,2022-02-04,Male,True,True,False
6827-IEAUQ,2022-01-10,Female,False,True,True
7310-EGVHZ,2022-02-05,Male,False,False,False
3413-BMNZE,2022-02-05,Male,True,False,False
6234-RAAPL,2022-01-01,Female,False,True,True
6047-YHPVI,2022-02-01,Male,False,False,False
6572-ADKRS,2022-01-01,Female,False,False,False
5380-WJKOV,2022-01-03,Male,False,False,False
8168-UQWWF,2022-01-26,Female,False,False,False
8865-TNMNX,2022-01-27,Male,False,True,True
9489-DEDVP,2022-01-01,Female,False,True,True
9867-JCZSP,2022-01-20,Female,False,True,True
4671-VJLCL,2022-01-01,Female,False,False,False
4080-IIARD,2022-01-24,Female,False,True,False
3714-NTNFO,2022-01-01,Female,False,False,False
5948-UJZLF,2022-02-04,Male,False,False,False
7760-OYPDY,2022-02-04,Female,False,False,False
7639-LIAYI,2022-01-01,Male,False,False,False
2954-PIBKO,2022-01-01,Female,False,True,True
8012-SOUDQ,2022-01-01,Female,True,False,False
9420-LOJKX,2022-01-22,Female,False,False,False
6575-SUVOI,2022-01-12,Female,True,True,False
7495-OOKFY,2022-01-29,Female,True,True,False
4667-QONEA,2022-01-01,Female,True,True,True
1658-BYGOY,2022-01-19,Male,True,False,False
8769-KKTPH,2022-01-01,Female,False,True,True
5067-XJQFU,2022-01-01,Male,True,True,True
3957-SQXML,2022-01-03,Female,False,True,True
5954-BDFSG,2022-01-01,Female,False,False,False
0434-CSFON,2022-01-01,Female,False,True,False
1215-FIGMP,2022-01-01,Male,False,False,False
0526-SXDJP,2022-01-01,Male,False,True,False
0557-ASKVU,2022-01-19,Female,False,True,True
5698-BQJOH,2022-01-28,Female,False,False,False
5122-CYFXA,2022-02-03,Female,False,False,False
8627-ZYGSZ,2022-01-01,Male,False,True,False
3410-YOQBQ,2022-01-06,Female,False,False,False
3170-NMYVV,2022-01-01,Female,False,True,True
7410-OIEDU,2022-01-27,Male,False,False,False
2273-QCKXA,2022-02-05,Male,False,False,False
0731-EBJQB,2022-01-01,Female,False,True,True
1891-QRQSA,2022-01-01,Male,True,True,True
8028-PNXHQ,2022-01-01,Male,False,True,True
5630-AHZIL,2022-02-03,Female,False,False,True
2673-CXQEU,2022-01-01,Female,True,False,False
6416-JNVRK,2022-01-01,Female,False,False,False
5590-ZSKRV,2022-01-29,Female,False,True,True
0191-ZHSKZ,2022-01-07,Male,True,False,False
3887-PBQAO,2022-01-01,Female,False,True,True
5919-TMRGD,2022-02-05,Female,False,False,True
8108-UXRQN,2022-01-26,Female,False,True,True
9191-MYQKX,2022-01-30,Female,False,True,False
9919-YLNNG,2022-01-01,Female,False,False,False
0318-ZOPWS,2022-01-01,Female,False,True,False
4445-ZJNMU,2022-01-28,Male,False,False,False
4808-YNLEU,2022-01-02,Female,False,True,False
1862-QRWPE,2022-01-01,Female,False,True,True
2796-NNUFI,2022-01-01,Female,False,True,True
3016-KSVCP,2022-01-08,Male,False,True,False
4767-HZZHQ,2022-01-07,Male,False,True,True
2424-WVHPL,2022-02-05,Male,True,False,False
7233-PAHHL,2022-01-01,Male,False,True,True
6067-NGCEU,2022-01-01,Female,False,False,False
9848-JQJTX,2022-01-01,Male,False,False,False
8637-XJIVR,2022-01-25,Female,False,False,False
9803-FTJCG,2022-01-01,Male,False,True,True
0278-YXOOG,2022-02-01,Male,False,False,False
3212-KXOCR,2022-01-01,Male,False,False,False
4598-XLKNJ,2022-01-12,Female,True,True,False
6380-ARCEH,2022-02-05,Male,False,False,False
3679-XASPY,2022-02-05,Female,False,True,True
7123-WQUHX,2022-01-01,Male,False,False,False
5386-THSLQ,2022-01-01,Female,True,True,False
3192-NQECA,2022-01-01,Male,False,True,False
6180-YBIQI,2022-02-01,Male,False,False,False
6728-DKUCO,2022-01-01,Female,False,True,True
9750-BOOHV,2022-01-05,Female,False,False,False
8597-CWYHH,2022-01-01,Male,False,False,False
2848-YXSMW,2022-01-01,Male,False,True,True
0486-HECZI,2022-01-01,Male,False,True,False
4549-ZDQYY,2022-01-01,Female,False,False,False
5712-AHQNN,2022-01-01,Female,False,False,False
4846-WHAFZ,2022-01-01,Female,True,True,False
5256-SKJGO,2022-01-01,Female,False,True,True
3071-VBYPO,2022-02-03,Male,False,True,True
9560-BBZXK,2022-01-01,Female,False,False,False
5299-RULOA,2022-01-27,Female,False,True,True
8402-OOOHJ,2022-01-01,Female,False,False,False
9445-ZUEQE,2022-01-10,Male,False,True,True
1091-SOZGA,2022-01-01,Female,False,True,True
2928-HLDBA,2022-01-31,Female,False,False,False
0404-SWRVG,2022-02-03,Male,False,False,False
6497-TILVL,2022-01-30,Female,False,True,True
7219-TLZHO,2022-02-02,Female,False,True,True
4622-YNKIJ,2022-01-04,Male,False,False,False
4412-YLTKF,2022-01-10,Female,True,False,False
6734-PSBAW,2022-01-01,Male,False,True,False
3930-ZGWVE,2022-02-05,Male,False,False,False
2639-UGMAZ,2022-01-01,Male,True,False,False
2876-GZYZC,2022-01-24,Female,False,False,False
6207-WIOLX,2022-01-12,Female,False,True,True
8587-XYZSF,2022-01-01,Male,False,False,False
3091-FYHKI,2022-02-05,Male,False,False,False
2372-HWUHI,2022-02-04,Male,False,False,False
7799-LGRDP,2022-01-01,Female,False,False,False
7850-VWJUU,2022-01-14,Female,False,False,False
3774-VBNXY,2022-01-01,Female,False,True,True
6217-KDYWC,2022-01-01,Male,False,False,True
0390-DCFDQ,2022-02-05,Female,True,True,False
3146-MSEGF,2022-01-01,Female,True,True,True
4080-OGPJL,2022-01-29,Female,False,False,False
1095-WGNGG,2022-01-01,Female,False,True,False
2636-SJDOU,2022-01-01,Male,False,False,False
1131-QQZEB,2022-01-01,Male,True,True,False
5716-EZXZN,2022-01-01,Female,False,True,True
6837-BJYDQ,2022-02-03,Male,False,False,False
2135-RXIHG,2022-02-05,Male,False,False,False
6440-DKQGE,2022-01-07,Male,False,False,True
3466-BYAVD,2022-01-22,Male,False,True,True
3780-YVMFA,2022-01-29,Female,False,True,True
3874-EQOEP,2022-01-30,Male,False,False,False
1679-JRFBR,2022-01-01,Female,False,True,True
9073-ZZIAY,2022-01-01,Male,False,True,True
3077-RSNTJ,2022-01-31,Female,False,True,True
6551-GNYDG,2022-01-23,Female,False,True,True
9167-APMXZ,2022-01-15,Female,False,False,False
2749-CTKAJ,2022-01-15,Male,False,True,True
6371-NZYEG,2022-01-21,Male,False,True,True
7554-NEWDD,2022-01-27,Male,False,False,False
8992-VONJD,2022-01-24,Female,False,False,True
0867-MKZVY,2022-01-17,Female,False,True,False
4482-EWFMI,2022-02-04,Female,False,False,False
4648-YPBTM,2022-01-01,Male,False,False,False
2907-ILJBN,2022-01-26,Female,False,True,True
6345-FZOQH,2022-01-01,Male,False,True,False
3376-BMGFE,2022-02-02,Female,False,False,False
5997-OPVFA,2022-01-01,Male,False,True,False
3445-HXXGF,2022-01-01,Male,True,True,False
1159-WFSGR,2022-01-21,Female,False,True,True
7654-YWJUF,2022-01-01,Male,False,True,False
1875-QIVME,2022-02-04,Female,False,True,False
6727-IOTLZ,2022-01-23,Male,False,True,False
0691-JVSYA,2022-01-01,Female,False,True,False
5918-VUKWP,2022-01-05,Female,False,False,False
1744-JHKYS,2022-01-03,Female,False,True,False
2656-FMOKZ,2022-01-22,Female,True,False,False
2070-FNEXE,2022-01-30,Female,True,False,False
5947-SGKCL,2022-01-22,Female,False,True,True
3712-PKXZA,2022-01-01,Male,False,True,False
6317-YPKDH,2022-02-05,Female,False,False,False
6582-OIVSP,2022-02-05,Female,False,False,False
9367-WXLCH,2022-01-29,Male,False,False,False
5524-KHNJP,2022-01-04,Male,False,True,True
1918-ZBFQJ,2022-01-24,Female,False,False,False
1024-GUALD,2022-02-05,Female,False,True,False
4827-USJHP,2022-01-17,Male,False,False,False
8167-GJLRN,2022-02-03,Male,False,False,False
0956-SYCWG,2022-01-24,Female,False,False,False
8017-UVSZU,2022-01-01,Female,False,True,False
7100-FQPRV,2022-01-01,Male,False,True,True
2472-OVKUP,2022-01-31,Male,False,True,False
2984-RGEYA,2022-01-01,Female,False,True,True
9680-NIAUV,2022-01-01,Female,False,True,True
2146-EGVDT,2022-01-01,Male,False,True,True
2604-IJPDU,2022-01-17,Female,False,True,False
9178-JHUVJ,2022-01-13,Male,False,True,True
6168-YBYNP,2022-01-01,Male,False,False,False
7255-SSFBC,2022-01-01,Male,False,True,True
3645-DEYGF,2022-02-05,Male,False,False,True
9323-HGFWY,2022-01-10,Female,False,True,False
8544-GOQSH,2022-01-23,Female,False,False,False
3363-DTIVD,2022-01-01,Male,False,True,True
7018-WBJNK,2022-01-24,Male,False,False,True
9142-KZXOP,2022-01-01,Male,False,False,False
7674-YTAFD,2022-01-04,Female,False,False,False
6348-SNFUS,2022-01-01,Male,False,True,True
1285-OKIPP,2022-02-05,Male,False,False,False
7825-ECJRF,2022-01-18,Female,False,False,False
1347-KTTTA,2022-01-01,Male,False,True,False
7841-TZDMQ,2022-02-04,Male,False,False,False
4195-NZGTA,2022-02-05,Female,False,False,False
7157-SMCFK,2022-01-01,Male,False,False,True
4709-LKHYG,2022-01-08,Female,False,True,True
2504-DSHIH,2022-01-14,Male,True,True,False
0699-NDKJM,2022-01-01,Female,False,True,False
9286-BHDQG,2022-01-01,Male,False,True,True
0230-WEQUW,2022-01-01,Male,False,True,False
2040-LDIWQ,2022-01-01,Male,False,True,True
6496-JDSSB,2022-01-29,Female,False,False,False
9408-SSNVZ,2022-02-02,Female,False,False,False
4443-EMBNA,2022-01-01,Female,False,True,False
6469-MRVET,2022-02-05,Male,False,True,True
0742-MOABM,2022-02-02,Male,False,True,False
5961-VUSRV,2022-01-25,Female,False,False,False
6778-JFCMK,2022-01-13,Male,False,False,False
6341-JVQGF,2022-01-06,Female,False,True,True
2232-DMLXU,2022-02-05,Female,False,True,False
4811-JBUVU,2022-01-07,Male,False,False,False
0945-TSONX,2022-01-01,Female,False,True,True
2651-ZCBXV,2022-01-01,Male,False,False,False
3316-UWXUY,2022-01-01,Male,False,False,False
8937-RDTHP,2022-02-05,Male,False,False,False
7083-MIOPC,2022-01-01,Female,False,False,False
1984-GPTEH,2022-01-08,Female,False,False,False
1251-KRREG,2022-02-04,Male,False,False,False
0621-JFHOL,2022-01-27,Female,False,False,False
9903-LYSAB,2022-01-19,Male,False,True,False
0094-OIFMO,2022-01-26,Female,True,False,False
9227-UAQFT,2022-01-21,Male,False,False,False
7301-ABVAD,2022-01-01,Female,False,False,False
6614-FHDBO,2022-01-01,Male,False,False,False
7576-ASEJU,2022-01-01,Female,False,True,True
9058-HRZSV,2022-01-01,Female,True,True,False
4522-AKYLR,2022-01-24,Female,True,False,False
0221-WMXNQ,2022-02-02,Male,True,False,False
0303-UNCIP,2022-01-01,Male,False,False,False
9947-OTFQU,2022-01-22,Male,True,False,False
0322-YINQP,2022-02-05,Male,False,False,False
0959-WHOKV,2022-01-01,Male,False,False,False
4075-JFPGR,2022-01-01,Female,False,True,False
4629-NRXKX,2022-02-04,Female,False,True,True
9514-JDSKI,2022-02-05,Male,True,True,False
3282-ZISZV,2022-01-05,Male,False,False,True
3675-YDUPJ,2022-01-27,Male,False,False,False
4111-BNXIF,2022-01-01,Female,False,True,True
7017-VFHAY,2022-01-01,Female,False,True,True
6655-LHBYW,2022-01-01,Male,False,False,False
4959-JOSRX,2022-02-04,Female,False,True,False
5046-NUHWD,2022-01-08,Female,True,True,False
7273-TEFQD,2022-02-03,Male,True,False,False
3606-TWKGI,2022-01-24,Male,True,False,False
7529-ZDFXI,2022-01-01,Male,True,True,False
7605-BDWDC,2022-01-06,Female,False,False,False
1950-KSVVJ,2022-01-01,Female,False,True,False
0123-CRBRT,2022-01-01,Female,False,True,True
6292-TOSSS,2022-01-01,Male,False,False,False
3197-ARFOY,2022-01-18,Female,True,False,False
6323-AYBRX,2022-01-01,Male,False,False,False
7014-ZZXAW,2022-01-01,Female,False,True,False
4385-GZQXV,2022-01-21,Female,True,False,False
7633-MVPUY,2022-01-01,Male,False,True,False
6366-ZGQGL,2022-02-05,Male,False,False,False
4716-HHKQH,2022-01-17,Male,True,True,False
5940-AHUHD,2022-02-05,Male,False,False,False
6432-TWQLB,2022-02-01,Male,False,True,False
4484-GLZOU,2022-01-01,Female,False,True,False
