user_id,watch_hours_30d,avg_session_mins_7d,unique_devices_30d,skips_7d,rebuffer_events_7d
7590-VHVEG,24.483650766787413,29.14104464084511,3,4,1
5575-GNVDE,30.03622768754235,29.14104464084511,1,6,4
3668-QPYBK,26.706810723188912,29.14104464084511,2,3,5
7795-CFOCW,21.89204080621363,29.14104464084511,1,5,1
9237-HQITU,28.33164607414139,29.14104464084511,3,7,2
9305-CDSKC,29.989267225017684,29.14104464084511,3,3,0
1452-KIOVK,33.665718012987185,29.14104464084511,2,7,4
6713-OKOMC,31.163576227772666,29.14104464084511,1,3,5
7892-POOKP,33.258967407243354,29.14104464084511,3,4,3
6388-TABGU,25.320125500900296,29.14104464084511,3,4,9
9763-GRSKD,29.94171025092599,29.14104464084511,2,6,3
7469-LKBCI,24.626935040800305,29.14104464084511,2,7,1
8091-TTVAX,35.57957124498949,29.14104464084511,2,9,0
0280-XJGEX,30.902659776458975,29.14104464084511,1,4,1
5129-JLPIS,35.67874088768364,29.14104464084511,2,11,2
3655-SNQYZ,40.464015972291435,29.14104464084511,1,5,0
8191-XWSZG,16.37642726357459,29.14104464084511,3,3,1
9959-WOFKT,33.71692119479891,29.14104464084511,2,4,3
4190-MFLUW,18.77388630099578,29.14104464084511,2,4,2
4183-MYFRB,27.059811301075122,29.14104464084511,2,5,1
8779-QRDMV,16.738824811041336,29.14104464084511,2,7,1
1680-VDCWW,21.794544344626594,29.14104464084511,1,3,2
1066-JKSGK,16.685267592781486,29.14104464084511,1,6,0
3638-WEABW,30.341321794108506,29.14104464084511,1,5,4
6322-HRPFA,29.723755433121124,29.14104464084511,2,4,3
6865-JZNKO,27.36034527685023,29.14104464084511,3,4,6
6467-CHFZW,22.31870144589743,29.14104464084511,2,4,1
8665-UTDHZ,21.83653552076682,29.14104464084511,3,7,3
5248-YGIJN,33.29499527299464,29.14104464084511,2,2,3
8773-HHUOZ,30.271544930016535,29.14104464084511,2,7,4
3841-NFECX,26.801821172473034,29.14104464084511,2,7,4
4929-XIHVW,31.93623361983035,29.14104464084511,3,3,4
6827-IEAUQ,25.0299046097168,29.14104464084511,1,3,3
7310-EGVHZ,18.985813802872006,29.14104464084511,1,5,3
3413-BMNZE,32.0919931169304,29.14104464084511,3,6,3
6234-RAAPL,30.947326623340516,29.14104464084511,1,7,2
6047-YHPVI,30.292391475272396,29.14104464084511,2,8,1
6572-ADKRS,35.64194933691587,29.14104464084511,3,7,4
5380-WJKOV,33.03449783628349,29.14104464084511,3,5,3
8168-UQWWF,34.1189902520792,29.14104464084511,2,3,2
8865-TNMNX,27.984820716247402,29.14104464084511,1,6,2
9489-DEDVP,30.69890887127531,29.14104464084511,2,3,4
9867-JCZSP,16.98722086791153,29.14104464084511,1,8,1
4671-VJLCL,32.35820115188504,29.14104464084511,3,3,4
4080-IIARD,38.22411710870769,29.14104464084511,3,8,2
3714-NTNFO,24.939276609357584,29.14104464084511,3,1,4
5948-UJZLF,31.68441344010799,29.14104464084511,1,5,3
7760-OYPDY,32.694270128482906,29.14104464084511,3,6,2
7639-LIAYI,28.755148029463893,29.14104464084511,3,1,2
2954-PIBKO,39.62458273171212,29.14104464084511,3,5,2
8012-SOUDQ,37.34879856042356,29.14104464084511,2,2,1
9420-LOJKX,28.868555489473877,29.14104464084511,2,5,1
6575-SUVOI,30.797581143857315,29.14104464084511,2,4,1
7495-OOKFY,34.98094791835092,29.14104464084511,3,6,1
4667-QONEA,30.28358937324625,29.14104464084511,1,8,3
1658-BYGOY,37.73205133597603,29.14104464084511,1,5,1
8769-KKTPH,34.61491339925292,29.14104464084511,2,6,0
5067-XJQFU,39.60373780417164,29.14104464084511,1,5,2
3957-SQXML,30.93511295828076,29.14104464084511,1,3,1
5954-BDFSG,32.746688744971735,29.14104464084511,1,4,0
0434-CSFON,36.09069305194805,29.14104464084511,3,1,1
1215-FIGMP,31.168462117307925,29.14104464084511,3,5,2
0526-SXDJP,26.951342056129157,29.14104464084511,2,4,4
0557-ASKVU,22.2240273607493,29.14104464084511,3,8,2
5698-BQJOH,31.26349201748663,29.14104464084511,2,6,4
5122-CYFXA,30.31402013597752,29.14104464084511,3,7,5
8627-ZYGSZ,36.32881936050204,29.14104464084511,1,5,1
3410-YOQBQ,37.60611003727066,29.14104464084511,1,3,5
3170-NMYVV,16.404861037578726,29.14104464084511,1,3,1
7410-OIEDU,28.00428817006475,29.14104464084511,2,6,1
2273-QCKXA,30.592017112867108,29.14104464084511,3,10,2
0731-EBJQB,13.097901079127526,29.14104464084511,2,5,1
1891-QRQSA,34.42415067523816,29.14104464084511,2,3,3
8028-PNXHQ,23.151065371649555,29.14104464084511,3,4,4
5630-AHZIL,35.9600748864341,29.14104464084511,1,6,3
